index,time,cx,cy,cz,mqx,mqy,mqz,mqw
37,1761145922.2612107,-0.10542349331080914,0.12146859429776669,0.6986827254295349,0.12906399762544898,-0.1660777898978912,0.912202243704116,0.3516357757691141
38,1761145922.3407207,-0.10976032726466656,0.12249049358069897,0.7161532491445541,0.1398345427984342,-0.15833122246087047,0.9104851528422867,0.355519775945245
39,1761145922.41723,-0.1149741318076849,0.12241706065833569,0.732082188129425,0.15896760827744597,-0.1571638331022693,0.9087958768703388,0.35230509968864
40,1761145922.4945242,-0.1174375843256712,0.1219335850328207,0.7410828322172165,0.16026132064119702,-0.14044212493080746,0.9105382806389745,0.35427723345182544
41,1761145922.5725083,-0.12042143754661083,0.12312430888414383,0.7532075345516205,0.14817033810508354,-0.10348233760382211,0.9175837361316719,0.3540862096954866
42,1761145922.650854,-0.12227660045027733,0.1246494147926569,0.7638887315988541,0.07108660579506403,-0.033163943256173764,0.9426287743854187,0.3244962881835198
43,1761145922.7311323,-0.12349063530564308,0.1262756623327732,0.7715944200754166,0.02555624251914519,0.013427400012888854,0.94121749090237,0.33656532533320105
44,1761145922.8065395,-0.12472825311124325,0.1287450920790434,0.77935491502285,0.016981890903079205,0.0088910895928151,0.9414613939679961,0.3365754114237195
45,1761145922.8821237,-0.12490654985109965,0.1393509954214096,0.7872710824012756,0.016093023854510807,0.02716142505402226,0.9412815406220006,0.3361433218978563
46,1761145922.9660516,-0.12342599779367447,0.1326619442552328,0.7813671827316284,0.036187918186601775,0.0500749941469942,0.9400175319478767,0.3354846779945708
47,1761145923.0562847,-0.11977482214570045,0.1391662247478962,0.7815244495868683,0.12645803936487754,-0.10697829395991795,0.9271945021848467,0.335967802057892
48,1761145923.1323118,-0.11608033999800682,0.14032707922160625,0.7710742503404617,0.13387334650333446,0.059409261372777335,0.9327222164868502,0.3295113558452831
49,1761145923.2091265,-0.11232568882405758,0.14323010481894016,0.7609319388866425,0.20987350271919433,0.10661340285031866,0.9220247816238765,0.30733857105884893
50,1761145923.2861154,-0.10734619945287704,0.15407879650592804,0.7521829207738241,0.1694260780639337,0.17640937226689235,0.9215312446875026,0.30158697338077656
